Geonames Feature Code,Geonames Label,Wikidata URI,Wikidata label,AAT ID,AAT label,description,Geonames Feature Class,Wikipedia Code
NOV,novitiate,http://www.wikidata.org/entity/Q837999,novitiate,,,a religious house or school where novices are trained,S,S.NOV
NSY,nursery(-ies),,,,,a place where plants are propagated for transplanting or grafting,S,S.NSY
OBPT,observation point,http://www.wikidata.org/entity/Q6017969,scenic viewpoint,http://vocab.getty.edu/aat/300008186,overlooks,a wildlife or scenic observation point,S,S.OBPT
OBS,observatory,http://www.wikidata.org/entity/Q62832,observatory,http://vocab.getty.edu/aat/300007680,observatories,a facility equipped for observation of atmospheric or space phenomena,S,S.OBS
OBSR,radio observatory,http://www.wikidata.org/entity/Q184356,radio telescope,http://vocab.getty.edu/aat/300386744,radio telescopes,a facility equipped with an array of antennae for receiving radio waves from space,S,S.OBSR
OILJ,oil pipeline junction,,,,,a section of an oil pipeline where two or more pipes join together,S,S.OILJ
OILQ,abandoned oil well,,,,,,S,S.OILQ
OILR,oil refinery,http://www.wikidata.org/entity/Q12353044,oil refinery,,,a facility for converting crude oil into refined petroleum products,S,S.OILR
OILT,tank farm,http://www.wikidata.org/entity/Q592856,oil depot,,,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored",S,S.OILT
OILW,oil well,http://www.wikidata.org/entity/Q587682,oil well,http://vocab.getty.edu/aat/300152319,oil wells,a well from which oil may be pumped,S,S.OILW
OPRA,opera house,http://www.wikidata.org/entity/Q153562,opera house,http://vocab.getty.edu/aat/300007104,opera houses,A theater designed chiefly for the performance of operas.,S,S.OPRA
PAL,palace,http://www.wikidata.org/entity/Q16560,palace,http://vocab.getty.edu/aat/300005734,palaces,"a large stately house, often a royal or presidential residence",S,S.PAL
PGDA,pagoda,http://www.wikidata.org/entity/Q199451,pagoda,http://vocab.getty.edu/aat/300004829,pagodas (buildings),"a tower-like storied structure, usually a Buddhist shrine",S,S.PGDA
PIER,pier,http://www.wikidata.org/entity/Q863454,pier,,,a structure built out into navigable water on piles providing berthing for ships and recreation,S,S.PIER
PKLT,parking lot,http://www.wikidata.org/entity/Q6501349,parking lot,http://vocab.getty.edu/aat/300007826,parking lots,an area used for parking vehicles,S,S.PKLT
PMPO,oil pumping station,,,,,a facility for pumping oil through a pipeline,S,S.PMPO
PMPW,water pumping station,,,,,a facility for pumping water from a major well or through a pipeline,S,S.PMPW
PO,post office,http://www.wikidata.org/entity/Q35054,post office,http://vocab.getty.edu/aat/300006036,post offices,"a public building in which mail is received, sorted and distributed",S,S.PO
PP,police post,http://www.wikidata.org/entity/Q861951,police station,http://vocab.getty.edu/aat/300006049,police stations,a building in which police are stationed,S,S.PP
PPQ,abandoned police post,,,,,,S,S.PPQ
PRKGT,park gate,,,,,a controlled access to a park,S,S.PRKGT
PRKHQ,park headquarters,,,,,a park administrative facility,S,S.PRKHQ
PRN,prison,http://www.wikidata.org/entity/Q40357,prison,http://vocab.getty.edu/aat/300169222,gaols,a facility for confining prisoners,S,S.PRN
PRNJ,reformatory,http://www.wikidata.org/entity/Q7307453,reformatory,http://vocab.getty.edu/aat/300006483,reformatories (buildings),"a facility for confining, training, and reforming young law offenders",S,S.PRNJ
PRNQ,abandoned prison,,,,,,S,S.PRNQ
PS,power station,http://www.wikidata.org/entity/Q159719,power station,,,a facility for generating electric power,S,S.PS
PSH,hydroelectric power station,http://www.wikidata.org/entity/Q15911738,hydroelectric power station,,,a building where electricity is generated from water power,S,S.PSH
PSN,nuclear power station,http://www.wikidata.org/entity/Q134447,nuclear power station,http://vocab.getty.edu/aat/300000439,nuclear power plants,nuclear power station,S,S.PSN
PSTB,border post,http://www.wikidata.org/entity/Q757292,border checkpoint,,,a post or station at an international boundary for the regulation of movement of people and goods,S,S.PSTB
PSTC,customs post,,,,,a building at an international boundary where customs and duties are paid on goods,S,S.PSTC
PSTP,patrol post,,,,,a post from which patrols are sent out,S,S.PSTP
PYR,pyramid,http://www.wikidata.org/entity/Q12516,pyramid,http://vocab.getty.edu/aat/300004838,pyramids (tombs or platforms),an ancient massive structure of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,S,S.PYR
PYRS,pyramids,http://www.wikidata.org/entity/Q12516,pyramid,http://vocab.getty.edu/aat/300004838,pyramids (tombs or platforms),ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,S,S.PYRS
QUAY,quay,http://www.wikidata.org/entity/Q828909,wharf,http://vocab.getty.edu/aat/300120786,wharves,a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities,S,S.QUAY
RDCR,traffic circle,http://www.wikidata.org/entity/Q1529,traffic circle,http://vocab.getty.edu/aat/300003880,traffic circles,a road junction formed around a central circle about which traffic moves in one direction only,S,S.RDCR
RDIN,intersection,http://www.wikidata.org/entity/Q285783,intersection,,,a junction of two or more highways by a system of separate levels that permit traffic to pass from one to another without the crossing of traffic streams,S,S.RDIN
RECG,golf course,http://www.wikidata.org/entity/Q1048525,golf course,http://vocab.getty.edu/aat/300000586,golf courses,a recreation field where golf is played,S,S.RECG
RECR,racetrack,http://www.wikidata.org/entity/Q1777138,race track,http://vocab.getty.edu/aat/300000593,racetracks (complexes),a track where races are held,S,S.RECR
REST,restaurant,http://www.wikidata.org/entity/Q11707,restaurant,http://vocab.getty.edu/aat/300005182,restaurants,A place where meals are served to the public,S,S.REST
RET,store,http://www.wikidata.org/entity/Q213441,shop,http://vocab.getty.edu/aat/300005238,markets (structures),a building where goods and/or services are offered for sale,S,S.RET
RHSE,resthouse,http://www.wikidata.org/entity/Q55713852,resthouse,,,a structure maintained for the rest and shelter of travelers,S,S.RHSE
RKRY,rookery,http://www.wikidata.org/entity/Q2640507,rookery,,,a breeding place of a colony of birds or seals,S,S.RKRY
RLG,religious site,,,,,an ancient site of significant religious importance,S,S.RLG
RLGR,retreat,,,,,"a place of temporary seclusion, especially for religious groups",S,S.RLGR
RNCH,ranch(es),http://www.wikidata.org/entity/Q509028,ranch,http://vocab.getty.edu/aat/300000241,ranches (agricultural complexes),a large farm specializing in extensive grazing of livestock,S,S.RNCH
RSD,railroad siding,http://www.wikidata.org/entity/Q21683257,siding,http://vocab.getty.edu/aat/300007924,sidings (transit system component),a short track parallel to and joining the main track,S,S.RSD
RSGNL,railroad signal,http://www.wikidata.org/entity/Q862562,railway signal,,,a signal at the entrance of a particular section of track governing the movement of trains,S,S.RSGNL
RSRT,resort,http://www.wikidata.org/entity/Q875157,resort,http://vocab.getty.edu/aat/300000547,resorts,"a specialized facility for vacation, health, or participation sports activities",S,S.RSRT
RSTN,railroad station,http://www.wikidata.org/entity/Q55488,railway station,http://vocab.getty.edu/aat/300007783,railroad stations,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight",S,S.RSTN
RSTNQ,abandoned railroad station,http://www.wikidata.org/entity/Q4663385,former railway station,,,,S,S.RSTNQ
RSTP,railroad stop,http://www.wikidata.org/entity/Q55678,railway halt,,,a place lacking station facilities where trains stop to pick up and unload passengers and freight,S,S.RSTP
RSTPQ,abandoned railroad stop,,,,,,S,S.RSTPQ
RUIN,ruin(s),,,,,a destroyed or decayed structure which is no longer functional,S,S.RUIN
SCH,school,http://www.wikidata.org/entity/Q3914,public educational institution,,,building(s) where instruction in one or more branches of knowledge takes place,S,S.SCH
SCHA,agricultural school,http://www.wikidata.org/entity/Q3345348,agricultural education,,,a school with a curriculum focused on agriculture,S,S.SCHA
SCHC,college,http://www.wikidata.org/entity/Q189004,college,http://vocab.getty.edu/aat/300312285,colleges (institutions),the grounds and buildings of an institution of higher learning,S,S.SCHC
SCHL,language school,http://www.wikidata.org/entity/Q897403,language school,,,Language Schools & Institutions,S,S.SCHL
SCHM,military school,http://www.wikidata.org/entity/Q1935049,military school,,,a school at which military science forms the core of the curriculum,S,S.SCHM
SCHN,maritime school,http://www.wikidata.org/entity/Q25505858,maritime school,,,a school at which maritime sciences form the core of the curriculum,S,S.SCHN
SCHT,technical school,http://www.wikidata.org/entity/Q845392,polytechnic,,,post-secondary school with a specifically technical or vocational curriculum,S,S.SCHT
SECP,State Exam Prep Centre,,,,,state exam preparation centres,S,S.SECP
SHPF,sheepfold,http://www.wikidata.org/entity/Q1871110,sheepfold,http://vocab.getty.edu/aat/300045477,sheepfolds (animal housing),a fence or wall enclosure for sheep and other small herd animals,S,S.SHPF
SHRN,shrine,http://www.wikidata.org/entity/Q697295,shrine,http://vocab.getty.edu/aat/300007558,shrines (structures),a structure or place memorializing a person or religious concept,S,S.SHRN
SHSE,storehouse,http://www.wikidata.org/entity/Q181623,warehouse,http://vocab.getty.edu/aat/300007719,godowns,"a building for storing goods, especially provisions",S,S.SHSE
SLCE,sluice,http://www.wikidata.org/entity/Q610559,sluice,http://vocab.getty.edu/aat/300006082,sluices,"a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate",S,S.SLCE
SNTR,sanatorium,http://www.wikidata.org/entity/Q46124,sanatorium,http://vocab.getty.edu/aat/300006720,sanatoriums,a facility where victims of physical or mental disorders are treated,S,S.SNTR
SPA,spa,http://www.wikidata.org/entity/Q1341387,spa,,,a resort area usually developed around a medicinal spring,S,S.SPA
SPLY,spillway,http://www.wikidata.org/entity/Q911379,spillway,http://vocab.getty.edu/aat/300003685,spillways,"a passage or outlet through which surplus water flows over, around or through a dam",S,S.SPLY
SQR,square,http://www.wikidata.org/entity/Q174782,square,http://vocab.getty.edu/aat/300164841,piazzas (squares),"a broad, open, public area near the center of a town or city",S,S.SQR
STBL,stable,http://www.wikidata.org/entity/Q214252,stable,http://vocab.getty.edu/aat/300004908,horse barns,"a building for the shelter and feeding of farm animals, especially horses",S,S.STBL
STDM,stadium,http://www.wikidata.org/entity/Q483110,stadium,http://vocab.getty.edu/aat/300007271,stadiums,a structure with an enclosure for athletic games with tiers of seats for spectators,S,S.STDM
STNB,scientific research base,http://www.wikidata.org/entity/Q195339,research station,http://vocab.getty.edu/aat/300007676,research stations,a scientific facility used as a base from which research is carried out or monitored,S,S.STNB
STNC,coast guard station,http://www.wikidata.org/entity/Q31407679,coast guard station,,,a facility from which the coast is guarded by armed vessels,S,S.STNC
STNE,experiment station,,,,,a facility for carrying out experiments,S,S.STNE
STNF,forest station,,,,,a collection of buildings and facilities for carrying out forest management,S,S.STNF
STNI,inspection station,,,,,"a station at which vehicles, goods, and people are inspected",S,S.STNI
STNM,meteorological station,http://www.wikidata.org/entity/Q190107,weather station,http://vocab.getty.edu/aat/300007677,meteorological stations,a station at which weather elements are recorded,S,S.STNM
STNR,radio station,http://www.wikidata.org/entity/Q14350,radio station,http://vocab.getty.edu/aat/300005402,radio stations,a facility for producing and transmitting information by radio waves,S,S.STNR
STNS,satellite station,http://www.wikidata.org/entity/Q357742,broadcast relay station,,,a facility for tracking and communicating with orbiting satellites,S,S.STNS
STNW,whaling station,http://www.wikidata.org/entity/Q3497366,whaling station,http://vocab.getty.edu/aat/300257640,whaling stations,a facility for butchering whales and processing train oil,S,S.STNW
STPS,steps,http://www.wikidata.org/entity/Q12511,stairs,http://vocab.getty.edu/aat/300003228,stairs,stones or slabs placed for ease in ascending or descending a steep slope,S,S.STPS
SWT,sewage treatment plant,http://www.wikidata.org/entity/Q15242449,wastewater treatment plant,http://vocab.getty.edu/aat/300006218,sewage treatment plants,facility for the processing of sewage and/or wastewater,S,S.SWT
SYG,synagogue,http://www.wikidata.org/entity/Q34627,synagogue,http://vocab.getty.edu/aat/300007590,synagogues (buildings),a place for Jewish worship and religious instruction,S,S.SYG
THTR,theater,http://www.wikidata.org/entity/Q24354,theatre,http://vocab.getty.edu/aat/300007117,theaters (buildings),"A building, room, or outdoor structure for the presentation of plays, films, or other dramatic performances",S,S.THTR
TMB,tomb(s),http://www.wikidata.org/entity/Q381885,tomb,http://vocab.getty.edu/aat/300005926,tombs,a structure for interring bodies,S,S.TMB
TMPL,temple(s),,,,,an edifice dedicated to religious worship,S,S.TMPL
TNKD,cattle dipping tank,,,,,a small artificial pond used for immersing cattle in chemically treated water for disease control,S,S.TNKD
TOLL,toll gate/barrier,http://www.wikidata.org/entity/Q1364150,toll booth,,,highway toll collection station,S,S.TOLL
TOWR,tower,http://www.wikidata.org/entity/Q12518,tower,http://vocab.getty.edu/aat/300004847,towers (single built works),"a high conspicuous structure, typically much higher than its diameter",S,S.TOWR
TRAM,tram,,,,,rail vehicle along urban streets (also known as streetcar or trolley),S,S.TRAM
TRANT,transit terminal,,,,,facilities for the handling of vehicular freight and passengers,S,S.TRANT
TRIG,triangulation station,http://www.wikidata.org/entity/Q131862,triangulation station,http://vocab.getty.edu/aat/300387033,triangulation stations,a point on the earth whose position has been determined by triangulation,S,S.TRIG
TRMO,oil pipeline terminal,,,,,a tank farm or loading facility at the end of an oil pipeline,S,S.TRMO
TWO,temp work office,,,,,Temporary Work Offices,S,S.TWO
UNIP,university prep school,http://www.wikidata.org/entity/Q428602,university-preparatory school,http://vocab.getty.edu/aat/300006581,preparatory schools (buildings),University Preparation Schools & Institutions,S,S.UNIP
UNIV,university,http://www.wikidata.org/entity/Q3918,university,http://vocab.getty.edu/aat/300006617,universities (buildings),An institution for higher learning with teaching and research facilities constituting a graduate school and professional schools that award master's degrees and doctorates and an undergraduate division that awards bachelor's degrees.,S,S.UNIV
USGE,united states government establishment,,,,,a facility operated by the United States Government in Panama,S,S.USGE
VETF,veterinary facility,,,,,a building or camp at which veterinary services are available,S,S.VETF
WALL,wall,http://www.wikidata.org/entity/Q42948,wall,http://vocab.getty.edu/aat/300002469,walls,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure",S,S.WALL
WALLA,ancient wall,,,,,the remains of a linear defensive stone structure,S,S.WALLA
WEIR,weir(s),,,,,"a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel",S,S.WEIR
WHRF,wharf(-ves),http://www.wikidata.org/entity/Q828909,wharf,http://vocab.getty.edu/aat/300120786,wharves,a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities,S,S.WHRF
WRCK,wreck,http://www.wikidata.org/entity/Q852190,shipwreck,http://vocab.getty.edu/aat/300188746,shipwrecks,the site of the remains of a wrecked vessel,S,S.WRCK
WTRW,waterworks,http://www.wikidata.org/entity/Q11849395,waterworks,,,a facility for supplying potable water through a water source and a system of pumps and filtration beds,S,S.WTRW
ZNF,free trade zone,http://www.wikidata.org/entity/Q496341,free economic zone,,,"an area, usually a section of a port, where goods may be received and shipped free of customs duty and of most customs regulations",S,S.ZNF
ZOO,zoo,http://www.wikidata.org/entity/Q43501,zoo,http://vocab.getty.edu/aat/300000348,zoos (built complexes),a zoological garden or park where wild animals are kept for exhibition,S,S.ZOO
ASPH,asphalt lake,http://www.wikidata.org/entity/Q2091807,tar pit,,,a small basin containing naturally occurring asphalt,T,T.ASPH
ATOL,atoll(s),http://www.wikidata.org/entity/Q42523,atoll,http://vocab.getty.edu/aat/300008793,atolls,a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon,T,T.ATOL
BAR,bar,http://www.wikidata.org/entity/Q478251,bar,http://vocab.getty.edu/aat/300386885,bars (landforms),"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts",T,T.BAR
BCH,beach,http://www.wikidata.org/entity/Q40080,beach,http://vocab.getty.edu/aat/300008816,beaches,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,T,T.BCH
BCHS,beaches,http://www.wikidata.org/entity/Q40080,beach,http://vocab.getty.edu/aat/300008816,beaches,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,T,T.BCHS
BDLD,badlands,http://www.wikidata.org/entity/Q272921,badlands,http://vocab.getty.edu/aat/300387013,badlands,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles",T,T.BDLD
BLDR,boulder field,http://www.wikidata.org/entity/Q1709247,blockfield,,,"a high altitude or high latitude bare, flat area covered with large angular rocks",T,T.BLDR
BLHL,blowhole(s),http://www.wikidata.org/entity/Q885499,blowhole,,,a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air,T,T.BLHL
BLOW,blowout(s),http://www.wikidata.org/entity/Q1182724,blowout,,,"a small depression in sandy terrain, caused by wind erosion",T,T.BLOW
BNCH,bench,http://www.wikidata.org/entity/Q4478339,bench,,,"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody",T,T.BNCH
BUTE,butte(s),http://www.wikidata.org/entity/Q6554910,butte,http://vocab.getty.edu/aat/300008744,buttes,"a small, isolated, usually flat-topped hill with steep sides",T,T.BUTE
CAPE,cape,http://www.wikidata.org/entity/Q185113,cape,http://vocab.getty.edu/aat/300008850,capes (landforms),"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction",T,T.CAPE
CFT,cleft(s),http://www.wikidata.org/entity/Q55674403,cleft,http://vocab.getty.edu/aat/300386988,clefts,"a deep narrow slot, notch, or groove in a coastal cliff",T,T.CFT
CLDA,caldera,http://www.wikidata.org/entity/Q159954,caldera,,,a depression measuring kilometers across formed by the collapse of a volcanic mountain,T,T.CLDA
CLF,cliff(s),http://www.wikidata.org/entity/Q107679,cliff,http://vocab.getty.edu/aat/300008749,cliffs,"a high, steep to perpendicular slope overlooking a waterbody or lower area",T,T.CLF
CNYN,canyon,http://www.wikidata.org/entity/Q150784,canyon,http://vocab.getty.edu/aat/300008763,canyons,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area",T,T.CNYN
CONE,cone(s),http://www.wikidata.org/entity/Q1368970,volcanic cone,,,a conical landform composed of mud or volcanic material,T,T.CONE
CRDR,corridor,http://www.wikidata.org/entity/Q7834916,transport corridor,,,a strip or area of land having significance as an access way,T,T.CRDR
CRQ,cirque,http://www.wikidata.org/entity/Q388227,cirque,,,a bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley,T,T.CRQ
CRQS,cirques,http://www.wikidata.org/entity/Q184368,cirque,http://vocab.getty.edu/aat/300386859,cirques,bowl-like hollows partially surrounded by cliffs or steep slopes at the head of a glaciated valley,T,T.CRQS
CRTR,crater(s),http://www.wikidata.org/entity/Q537876,crater,http://vocab.getty.edu/aat/300386991,craters (landforms),a generally circular saucer or bowl-shaped depression caused by volcanic or meteorite explosive action,T,T.CRTR
CUET,cuesta(s),http://www.wikidata.org/entity/Q873398,cuesta,http://vocab.getty.edu/aat/300386863,cuestas,an asymmetric ridge formed on tilted strata,T,T.CUET
DLTA,delta,http://www.wikidata.org/entity/Q43197,river delta,http://vocab.getty.edu/aat/300008760,deltas,a flat plain formed by alluvial deposits at the mouth of a stream,T,T.DLTA
DPR,depression(s),http://www.wikidata.org/entity/Q190429,depression,http://vocab.getty.edu/aat/300386860,depressions (landforms),a low area surrounded by higher land and usually characterized by interior drainage,T,T.DPR
DSRT,desert,http://www.wikidata.org/entity/Q8514,desert,http://vocab.getty.edu/aat/300008916,deserts,a large area with little or no vegetation due to extreme environmental conditions,T,T.DSRT
DUNE,dune(s),http://www.wikidata.org/entity/Q25391,dune,http://vocab.getty.edu/aat/300008750,dunes,"a wave form, ridge or star shape feature composed of sand",T,T.DUNE
DVD,divide,http://www.wikidata.org/entity/Q152005,drainage divide,,,a line separating adjacent drainage basins,T,T.DVD
ERG,sandy desert,http://www.wikidata.org/entity/Q319120,erg,http://vocab.getty.edu/aat/300387015,sandy deserts,an extensive tract of shifting sand and sand dunes,T,T.ERG
FAN,fan(s),,,,,a fan-shaped wedge of coarse alluvium with apex merging with a mountain stream bed and the fan spreading out at a low angle slope onto an adjacent plain,T,T.FAN
FORD,ford,http://www.wikidata.org/entity/Q12743,ford,,,a shallow part of a stream which can be crossed on foot or by land vehicle,T,T.FORD
FSR,fissure,http://www.wikidata.org/entity/Q28843416,fissure,,,a crack associated with volcanism,T,T.FSR
GAP,gap,http://www.wikidata.org/entity/Q16887036,gap,http://vocab.getty.edu/aat/300386834,gaps,"a low place in a ridge, not used for transportation",T,T.GAP
GRGE,gorge(s),http://www.wikidata.org/entity/Q55462851,gorge,http://vocab.getty.edu/aat/300008767,gorges (landforms),"a short, narrow, steep-sided section of a stream valley",T,T.GRGE
HDLD,headland,http://www.wikidata.org/entity/Q191992,headland,http://vocab.getty.edu/aat/300387499,headlands,a high projection of land extending into a large body of water beyond the line of the coast,T,T.HDLD
HLL,hill,http://www.wikidata.org/entity/Q54050,hill,http://vocab.getty.edu/aat/300008777,hills,a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m,T,T.HLL
HLLS,hills,http://www.wikidata.org/entity/Q19850234,hill group,,,rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m,T,T.HLLS
HMCK,hammock(s),,,,,"a patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups",T,T.HMCK
HMDA,rock desert,,,,,"a relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer",T,T.HMDA
INTF,interfluve,http://www.wikidata.org/entity/Q23228,interfluve,http://vocab.getty.edu/aat/300386842,interfluves,a relatively undissected upland between adjacent stream valleys,T,T.INTF
ISL,island,http://www.wikidata.org/entity/Q23442,island,http://vocab.getty.edu/aat/300008791,islands (landforms),"a tract of land, smaller than a continent, surrounded by water at high water",T,T.ISL
ISLET,islet,http://www.wikidata.org/entity/Q207524,islet,,,"small island, bigger than rock, smaller than island.",T,T.ISLET
ISLF,artificial island,http://www.wikidata.org/entity/Q13691,artificial island,http://vocab.getty.edu/aat/300386969,artificial islands,"an island created by landfill or diking and filling in a wetland, bay, or lagoon",T,T.ISLF
ISLM,mangrove island,,,,,a mangrove swamp surrounded by a waterbody,T,T.ISLM
ISLS,islands,http://www.wikidata.org/entity/Q33837,archipelago,http://vocab.getty.edu/aat/300386854,archipelagos,"tracts of land, smaller than a continent, surrounded by water at high water",T,T.ISLS
ISLT,land-tied island,http://www.wikidata.org/entity/Q1226252,tied island,http://vocab.getty.edu/aat/300386881,land-tied islands,"a coastal island connected to the mainland by barrier beaches, levees or dikes",T,T.ISLT
ISLX,section of island,http://www.wikidata.org/entity/Q57208193,section of an island,,,,T,T.ISLX
ISTH,isthmus,http://www.wikidata.org/entity/Q93267,isthmus,http://vocab.getty.edu/aat/300008794,isthmuses,a narrow strip of land connecting two larger land masses and bordered by water,T,T.ISTH
KRST,karst area,http://www.wikidata.org/entity/Q16817,300387344,,,"a distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams, and underground drainage",T,T.KRST
LAVA,lava area,,,,,an area of solidified lava,T,T.LAVA
LEV,levee,http://www.wikidata.org/entity/Q105190,levee,http://vocab.getty.edu/aat/300006156,levees,a natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods,T,T.LEV
MESA,mesa(s),http://www.wikidata.org/entity/Q623319,mesa,http://vocab.getty.edu/aat/300008811,mesas (landforms),"a flat-topped, isolated elevation with steep slopes on all sides, less extensive than a plateau",T,T.MESA
MND,mound(s),http://www.wikidata.org/entity/Q1584134,mound,,,"a low, isolated, rounded hill",T,T.MND
MRN,moraine,http://www.wikidata.org/entity/Q2610088,moraine,http://vocab.getty.edu/aat/300008836,moraines,"a mound, ridge, or other accumulation of glacial till",T,T.MRN
MT,mountain,http://www.wikidata.org/entity/Q8502,mountain,http://vocab.getty.edu/aat/300008795,mountains,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more",T,T.MT
MTS,mountains,http://www.wikidata.org/entity/Q46831,mountain range,http://vocab.getty.edu/aat/300386831,mountain ranges,a mountain range or a group of mountains or high ridges,T,T.MTS
NKM,meander neck,,,,,a narrow strip of land between the two limbs of a meander loop at its narrowest point,T,T.NKM
NTK,nunatak,http://www.wikidata.org/entity/Q194408,nunatak,http://vocab.getty.edu/aat/300386858,nunataks,a rock or mountain peak protruding through glacial ice,T,T.NTK
NTKS,nunataks,http://www.wikidata.org/entity/Q194408,nunatak,http://vocab.getty.edu/aat/300386858,nunataks,rocks or mountain peaks protruding through glacial ice,T,T.NTKS
PAN,pan,http://www.wikidata.org/entity/Q55710865,pan,http://vocab.getty.edu/aat/300386883,pans (landforms),"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool",T,T.PAN
PANS,pans,,,,,"a near-level shallow, natural depression or basin, usually containing an intermittent lake, pond, or pool",T,T.PANS
PASS,pass,http://www.wikidata.org/entity/Q133056,300259572,,,"a break in a mountain range or other high obstruction, used for transportation from one side to the other [See also gap]",T,T.PASS
PEN,peninsula,http://www.wikidata.org/entity/Q34763,peninsula,http://vocab.getty.edu/aat/300008804,peninsulas,an elongate area of land projecting into a body of water and nearly surrounded by water,T,T.PEN
PENX,section of peninsula,http://www.wikidata.org/entity/Q57208199,section of a peninsula,,,,T,T.PENX
PK,peak,http://www.wikidata.org/entity/Q207326,summit,http://vocab.getty.edu/aat/300008798,peaks (landforms),"a pointed elevation atop a mountain, ridge, or other hypsographic feature",T,T.PK
PKS,peaks,,,,,"pointed elevations atop a mountain, ridge, or other hypsographic features",T,T.PKS
PLAT,plateau,http://www.wikidata.org/entity/Q75520,plateau,http://vocab.getty.edu/aat/300132339,plateaus (landforms),"an elevated plain with steep slopes on one or more sides, and often with incised streams",T,T.PLAT
PLATX,section of plateau,http://www.wikidata.org/entity/Q57208228,section of a plateau,,,,T,T.PLATX
PLDR,polder,http://www.wikidata.org/entity/Q106259,polder,http://vocab.getty.edu/aat/300006163,polders,an area reclaimed from the sea by diking and draining,T,T.PLDR
PLN,plain(s),http://www.wikidata.org/entity/Q160091,plain,http://vocab.getty.edu/aat/300008805,plains (landforms),"an extensive area of comparatively level to gently undulating land, lacking surface irregularities, and usually adjacent to a higher area",T,T.PLN
PLNX,section of plain,http://www.wikidata.org/entity/Q57208241,section of a plain,,,,T,T.PLNX
PROM,promontory(-ies),http://www.wikidata.org/entity/Q1245089,promontory,http://vocab.getty.edu/aat/300008853,promontories,a bluff or prominent hill overlooking or projecting into a lowland,T,T.PROM
PT,point,http://www.wikidata.org/entity/Q24529780,point,http://vocab.getty.edu/aat/300386846,points (landforms),"a tapering piece of land projecting into a body of water, less prominent than a cape",T,T.PT
PTS,points,,,,,"tapering pieces of land projecting into a body of water, less prominent than a cape",T,T.PTS
RDGB,beach ridge,http://www.wikidata.org/entity/Q2532557,beach ridge,http://vocab.getty.edu/aat/300132329,beach ridges,"a ridge of sand just inland and parallel to the beach, usually in series",T,T.RDGB
RDGE,ridge(s),http://www.wikidata.org/entity/Q740445,ridge,http://vocab.getty.edu/aat/300266640,ridges (landforms),"a long narrow elevation with steep sides, and a more or less continuous crest",T,T.RDGE
REG,stony desert,,,,,a desert plain characterized by a surface veneer of gravel and stones,T,T.REG
RK,rock,http://www.wikidata.org/entity/Q1404150,rock,http://vocab.getty.edu/aat/300404733,rocks (landforms),"a conspicuous, isolated rocky mass",T,T.RK
RKFL,rockfall,http://www.wikidata.org/entity/Q5654036,rockfall,http://vocab.getty.edu/aat/300386869,rockfalls,an irregular mass of fallen rock at the base of a cliff or steep slope,T,T.RKFL
RKS,rocks,http://www.wikidata.org/entity/Q24576816,group of rocks,,,"conspicuous, isolated rocky masses",T,T.RKS
SAND,sand area,http://www.wikidata.org/entity/Q34379419,sand area,http://vocab.getty.edu/aat/300386870,sand areas,a tract of land covered with sand,T,T.SAND
SBED,dry stream bed,http://www.wikidata.org/entity/Q57237852,dry stream bed,,,a channel formerly containing the water of a stream,T,T.SBED
SCRP,escarpment,http://www.wikidata.org/entity/Q1174791,escarpment,,,a long line of cliffs or steep slopes separating level surfaces above and below,T,T.SCRP
SDL,saddle,http://www.wikidata.org/entity/Q10862618,saddle,,,"a broad, open pass crossing a ridge or between hills or mountains",T,T.SDL
